id,title,abstract,patent_date,year
11857841,Performance monitoring system for a pitcher,"A performance monitoring system includes a pitching mound, one or more processors, and a memory. The pitching mound includes a piezoelectric film associated with a pitching rubber, one or more rubber layers covering the piezoelectric film, a transmitter electrically coupled to the piezoelectric film, and a power source powering an amplifier associated with the piezoelectric film. The piezoelectric film generates electrical signals in response to pressure exerted on the pitching rubber. The processors are configured to receive the electrical signals generated by the piezoelectric film and transmitted by the transmitter. The processor is configured to analyze the received electrical signals based on training data using machine learning algorithms to determine at least one performance characteristic of the pitcher. The processors are configured to display on a display device the determined at least one performance characteristic in real-time.",2024-01-02,2024
11857868,Automated controller configuration recommendation system,"Various aspects of the subject technology relate to systems, methods, and machine- readable media for adjusting controller settings. The method includes receiving, through a controller associated with a user, controller input for software. The method also includes determining, based on the controller input, a user profile for the user comprising at least a skill level and an input tendency of the user. The method also includes providing suggested adjustments to the controller settings intended to improve performance of the user in relation to the software, the controller settings comprising at least one of controller sensitivity or controller assignments. The method also includes receiving approval of the user to implement the suggested adjustments to the controller settings. The method also includes adjusting the controller settings based on the approval of the user.",2024-01-02,2024
11857872,Content adaptive data center routing and forwarding in cloud computing environments,"High performance applications—such as cloud game streaming, cloud virtual reality (VR), remote desktop, and others—are sensitive to various network conditions, such as latency, jitter, and packet loss. Systems of the present disclosure may match network characteristics for a user device with latency requirements for a particular application type, and application sessions may be forwarded or distributed to a suitable data center. To accomplish this, application specific network tests may be executed to determine requirements for executing a high performing application session for a user. The result of these tests, in addition to application specific performance requirements, may be used to find a suitable data center—from a set of available data centers—that is capable of hosting the application session without degradation. As a result, efficient use of distributed infrastructures may be accomplished, while avoiding congestion and hot-spots, and providing an optimized application experience for end users.",2024-01-02,2024
11858122,Ground based robot with an OGI camera with computer vision to automate the inspection,"Provided is a process including: obtaining a first set of one or more images generated via an optical gas imaging (OGI) camera and a second set of one or more images generated via a second camera, wherein the first set and the second set correspond to a first location of a plurality of locations in a facility; classifying, via a convolutional neural network (CNN), the first set of one or more images according to whether the one or more images depict a gas leak; and storing a result of classifying the first set in memory.",2024-01-02,2024
11858149,Localization of robot,"A robot may include an input interface configured to obtain an image of a surrounding environment of the robot, and at least one processor configured to rotate the robot in place for localization, and estimate at least one of a position or a pose in a space, based on a plurality of sequential images obtained by the input interface during the rotation of the robot. The position or the pose of the robot may be estimated based on inputting the plurality of sequential images obtained during the rotation of the robot into a trained model based on an artificial neural network. In a 5G environment connected for the Internet of Things, embodiments of the present disclosure may execute an artificial intelligence algorithm and/or a machine learning algorithm.",2024-01-02,2024
11858207,Defect detection for additive manufacturing systems,"This invention teaches a quality assurance system for additive manufacturing. This invention teaches a multi-sensor, real-time quality system including sensors, affiliated hardware, and data processing algorithms that are Lagrangian-Eulerian with respect to the reference frames of its associated input measurements. The quality system for Additive Manufacturing is capable of measuring true in-process state variables associated with an additive manufacturing process, i.e., those in-process variables that define a feasible process space within which the process is deemed nominal. The in-process state variables can also be correlated to the part structure or microstructure and can then be useful in identifying particular locations within the part likely to include defects.",2024-01-02,2024
11858356,System and method for managing energy consumption across electric vehicle fleets with telematic devices in a computing environment,"A system and method for managing energy consumption across a fleet of telematic devices in a computing environment. The method includes receiving real time vehicle operation data from a fleet of telematic devices. The method further includes processing the received real time vehicle operation data using one or more artificial intelligence device integration models. Further, the method includes generating artificial intelligence-based energy management models for the fleet of telematic devices based on the real time vehicle operation data. Additionally, the method includes generating one or more energy management decisions for the fleet of telematic devices based on the generated one or more artificial intelligence-based energy management models. The method further includes managing the generated one or more energy management decisions for the fleet of telematic devices using a web application.",2024-01-02,2024
11858508,Trajectory prediction from precomputed or dynamically generated bank of trajectories,"Among other things, techniques are described for predicting how an agent (e.g., a vehicle, bicycle, pedestrian, etc.) will move in an environment based on prior movement, the road network, the surrounding objects and/or other relevant environmental factors. One trajectory prediction technique involves generating a probability map for an agent's movement. Another trajectory prediction technique involves generating a trajectory lattice, for an agent's movement. In addition, a different trajectory prediction technique involves multi-modal regression where a classifier (e.g., a neural network) is trained to classify the probability of a number of (learned) modes such that each model produces a trajectory based on the current input.",2024-01-02,2024
11858514,Top-down scene discrimination,"Techniques for top-down scene discrimination are discussed. A system receives scene data associated with an environment proximate a vehicle. The scene data is input to a convolutional neural network (CNN) discriminator trained using a generator and a classification of the output of the CNN discriminator. The CNN discriminator generates an indication of whether the scene data is a generated scene or a captured scene. If the scene data is data generated scene, the system generates a caution notification indicating that a current environmental situation is different from any previous situations. Additionally, the caution notification is communicated to at least one of a vehicle system or a remote vehicle monitoring system.",2024-01-02,2024
11858543,System and method for controlling operations of a train using energy management machine learning models,"A train control system uses artificial intelligence for maintaining synchronization between centralized and distributed train control models. A machine learning engine receives training data from a data acquisition hub, a first set of output control commands from a centralized virtual system modeling engine, and a second set of output control commands from a distributed virtual system modeling engine. The machine learning engine compares the first set of output control commands and the second set of output control commands, and trains a learning system using the training data to enable the machine learning engine to safely mitigate any difference between the first and second sets of output control commands using a learning function including at least one learning parameter.",2024-01-02,2024
11858551,"Modular, cost effective, field repairable chassis and mechanical components for heavy duty autonomous robot","A modular, cost-effective, field repairable chassis and mechanical components for an heavy duty autonomous robot having a uni-member bended frame 200 having a first end 210, a second end 220 and a middle section 240 whereby the uni-member bended frame 200 is configured to easily connect and remove the following body parts: a first set of rotatable members 310 removably affixable at the first end; a second set of rotatable members 320 removably affixable at the second end; at least one battery 330; at least one solar panel 340; at least one electric motor 350; at least one gearing mechanism 360 that is connectable to the at least one electric motor 350 and to at least one of the first and the second set of rotatable members 310, 320; at least one sensor 370; and at least one computer system 380. ",2024-01-02,2024
11858651,Machine learning model development with interactive feature construction and selection,"Subject matter described herein includes generating a visual environment for interactive development of a machine learning (ML) model. The method includes accessing observations of data each of which includes values of independent variables and a dependent variable. The method includes performing an interactive feature construction and selection in which select independent variables are selected as or transformed into a set of features for use in building a ML model to predict the dependent variable. The method includes building the ML model using a ML algorithm, the set of features, and a training set produced from the set of features and observations of the data. And the method includes outputting the ML model for deployment to predict the dependent variable for additional observations of the data.",2024-01-02,2024
11858796,Capper/decapper system and method,"A system and method for gripping, torqueing and releasing an element so as to cap and/or decap a container, such as those typically utilized to house specimens in laboratory environments. The system is driven by a single bi-directional motor linked to a coupler assembly via a rotating threaded shaft. The coupler assembly is configured to engage with an element, such as a cap or container, via mechanically-biased splines that are actuated without any complex linkages, or operative connection to the motor or other powered components. The system employs an ejector nut and an ejector, both of which are concentrically positioned about the threaded shaft. The ejector nut translates along the shaft as a function of the shaft's rotation, so as to permit the retraction of the ejector when an element is engaged in the coupler assembly or cause the ejector to extend into the coupler assembly to disengage the element. The direction and rotation of the motor is controlled by a system coupled to sensors positioned within the system. Such control system may include one or more processors, component interfaces, and data storage/memory. The sensors may include multiple optical, magnetic or mechanical means for monitoring one or more of the positions of the ejector nut and ejector along the threaded shaft, and/or the rotational position of the coupler assembly.",2024-01-02,2024
11859488,DAS data processing to identify fluid inflow locations and fluid type,"A method of identifying inflow locations along a wellbore includes obtaining an acoustic signal from a sensor within the wellbore, determining a plurality of frequency domain features from the acoustic signal, and identifying, using a plurality of fluid flow models, a presence of at least one of a gas phase inflow, an aqueous phase inflow, or a hydrocarbon liquid phase inflow at one or more fluid flow locations. The acoustic signal includes acoustic samples across a portion of a depth of the wellbore, and the plurality of frequency domain features are obtained across a plurality of depth intervals within the portion of the depth of the wellbore. Each fluid flow model of the plurality of fluid inflow models uses one or more frequency domain features of the plurality of the frequency domain features, and at least two of the plurality of fluid flow models are different.",2024-01-02,2024
11859626,Incipient compressor surge detection using artificial intelligence,"Examples described herein provide a computer-implemented method that includes receiving training data indicative of incipient compressor surge for cabin air compressors. The method further includes generating, using the training data, a training spectrogram. The method further includes training, by a processing system, a machine learning model to detect incipient compressor surge events for the cabin air compressors using the spectrogram. The method further includes receiving, at a microcontroller associated with a cabin air compressor, operating data associated with the cabin air compressor. The method further includes generating, at the microcontroller and using the operating data, an operating spectrogram. The method further includes detecting, by the microcontroller associated with the cabin air compressor, an incipient compressor surge event by applying the machine learning model to the operating spectrogram. The method further includes implementing a corrective action to correct the incipient compressor surge event.",2024-01-02,2024
11859847,Methods and systems for training building control using simulated and real experience data,"Systems and methods for training a reinforcement learning (RL) model for HVAC control are disclosed herein. Simulated experience data for the HVAC system is generated or received. The simulated experience data is used to initially train the RL model for HVAC control. The HVAC system operates within a building using the RL model and generates real experience data. A determination may be made to retrain the RL model. The real experience data is used to retrain the RL model. In some embodiments, both the simulated and real experience data are used to retrain the RL model. Experience data may be sampled according to various sampling functions. The RL model may be retrained multiple times over time. The RL model may be retrained less frequently over time as more real experience data is used to train the RL model.",2024-01-02,2024
11859973,Large scale CNN regression based localization via two-dimensional map,Embodiments described herein provide a processing apparatus comprising compute logic to train a convolutional neural network (CNN) to perform autonomous re-localization for a service robot or mobile device. In one embodiment the apparatus comprises an image processor to process visual data received via a sensor and a general purpose graphics processing engine perform camera pose estimation for image data and generate a transformation matrix to transform positions of camera pose estimations to positions within a human readable map of the location. The images and transformed positions are uses to train the CNN to perform re-localization.,2024-01-02,2024
11859985,Map data validation using knowledge graphs and randomness measures,Systems and methods are disclosed for improved mapping data validation using randomness measures. Methods may include receiving a map dataset that includes a plurality of map features. A knowledge graph may be generated based on the map dataset that may include nodes representing or corresponding to the map features. Nodes corresponding to map features of a particular feature type may be identified and edges connected to the identified nodes may be processed to identify a plurality of paths. A randomness measure for the particular feature type may be determined based on the plurality of paths. The randomness measure may indicate a predictability of occurrences of map features of the particular feature type in the map dataset. The randomness measure may then be compared to a second randomness measure determined based on another map dataset.,2024-01-02,2024
11859998,"Map data updating method, apparatus, device, and readable storage medium","The present application discloses a map data updating method, an apparatus, a device and a readable storage medium. The specific implementation solution is: after receiving road information reported by an electronic device, a server obtains multiple sequences according to the road information, and each road information belonging to the same sequence has the same type and location. After that, the server inputs each road information contained in the sequences to a pre-trained neural network model, so that the neural network model outputs a recognition result according to the sequences. The server updates map data according to the recognition result. With such solution, valid road information is recognized by combining context of each road information in the sequences and the neural network technology, and the map data is updated, which achieves the purpose of accurately updating the map data.",2024-01-02,2024
11860027,"Weight measurement system, weigh head apparatus and methods","A weigh head apparatus (102) for cooperation with a data processing unit for use in livestock weighing. The weigh head apparatus is inexpensive, easy to upgrade and has low maintenance costs. The weight head apparatus has: a signal converting module (106) operable to convert one or more analogue load signal into a plurality of digital load values; and a data transmitting module (108) operable to transmit a stream of the digital load values over a wireless connection to the data processing unit. The stream is a real-time stream and the digital load values are raw instantaneous analogue-to-digital converter output values. A command receiving module (109) is configured to receive a transmit-stream command from the data processing unit, wherein the data transmitting module (108) is operable to transmit the stream of the digital load values in response to the received transmit-stream command.",2024-01-02,2024
11860114,Determining atomic coordinates from X-ray diffraction data,"Atomic position data may be obtained from x-ray diffraction data. The x-ray diffraction data for a sample may be squared and/or otherwise operated on to obtain input data for a neural network. The input data may be input to a trained convolutional neural network. The convolutional neural network may have been trained based on pairs of known atomic structures and corresponding neural network inputs. For the neural network input corresponding to the sample and input to the trained convolutional neural network, the convolutional neural network may obtain an atomic structure corresponding to the sample.",2024-01-02,2024
11860154,Method to detect white blood cells and/or white blood cell subtypes from non-invasive capillary videos,"In one aspect, a method to detect white blood cells and/or white blood cell subtypes from non-invasive capillary videos is featured. The method includes acquiring a first plurality of images of a region of interest including one or more capillaries of a predetermined area of a human subject from non-invasive capillary videos captured with an optical device, processing the first plurality of images to determine one or more optical absorption gaps located in said capillary, and annotating the first plurality of images with an indication of any optical absorption gap detected in the first plurality of images. The method also includes acquiring a second plurality of images of the same region of interest of the same capillary with an advanced optical device capable of resolving cellular structure of white blood cells and white blood cell subtypes and spatiotemporally annotating the second plurality of images with an indication of any white blood cell detected and/or a subtype of any white blood cell detected in the second plurality of images. The method also includes inputting the first plurality of images and annotated information from the first plurality of images and annotated information from the spatiotemporally annotated second plurality of images into a machine learning subsystem configured to determine a presence of white blood cells and/or the subtype of any white blood cells present in the one or more optical absorption gaps in the first plurality of images.",2024-01-02,2024
11860216,Fault arc signal detection method using convolutional neural network,"A fault arc signal detection method using a convolutional neural network, comprising: enabling a sampling signal subjected to analog-digital conversion to respectively pass through three different band-pass filters; respectively extracting a time-domain feature and a frequency-domain feature from a half wave output of each filter; constructing a two-dimensional feature matrix by means of extracted time-frequency feature vectors from the output of each filter, and stacking the feature matrices corresponding the outputs of the three filters to construct a three-dimensional matrix for each half wave; and processing a multi-channel feature matrix by using a multi-channel two-dimensional convolutional neural network, and determining, according to the output result of the neural network, whether the half wave is an arc. The detection method based on the convolutional neural network has higher accuracy and reliability in recognizing a fault arc half wave, can implement targeted training for different load conditions, and is self-adaptive.",2024-01-02,2024
11860227,Machine learning delay estimation for emulation systems,"A delay estimation system estimates a delay of a DUT for an emulation system. The delay estimation system receives logic blocks of the DUT and a combinatorial path connecting one or more of the logic blocks. The system applies a delay model to a feature vector representing the combinatorial path, where the delay model can determine a delay of the combinatorial path. The delay model may be a machine learning model. The system generates a timing graph using the determined delay and provides the timing graph to a compiler to perform placement and routing of the DUT.",2024-01-02,2024
11860286,Navigation system with location correction mechanism and method of operation thereof,"A navigation system includes: a communication circuit configured to: receive a base station data including an actual location and a satellite provided reference location from a base station, and transfer the base station data to an artificial intelligence (AI) correction calculator, already trained; a control circuit, coupled to the communication circuit, configured to: transfer a pseudorange, of a satellite, from the AI correction calculator; calculate a real-time kinematics (RTK) correction based on the pseudorange; and enable the communication circuit to transmit the RTK correction by an over the air (OTA) communication to the base station including the base station transferring the RTK correction to a device for correcting the satellite provided reference location to a real-world location and displaying on the device.",2024-01-02,2024
11860288,Methods and apparatus to detect the location of sound sources external to computing devices,"Methods, apparatus, systems, and articles of manufacture to detect the location of sound sources external to computing devices are disclosed. An apparatus, to determine a direction of a source of a sound relative to a computing device, includes a cross-correlation analyzer to generate a vector of values corresponding to a cross-correlation of first and second audio signals corresponding to the sound. The first audio signal is received from a first microphone of the computing device. The second audio signal is received from a second microphone of the computing device. The apparatus also includes a location analyzer to use a machine learning model and a set of the values of the vector to determine the direction of the source of the sound.",2024-01-02,2024
11860324,System and method for 3D seismic velocity estimation,A method is described for estimating seismic velocity from seismic data by training a neural network using a subset of a seismic dataset and the velocity model; estimating a second velocity model using the neural network and a second subset of the seismic dataset; and displaying the second velocity model on a graphical user interface. The method may be executed by a computer system.,2024-01-02,2024
11860325,Deep learning architecture for seismic post-stack inversion,"A system for estimating a rock property away from a well may include one or more hardware processors configured to access acquired three-dimensional (3D) seismic data that includes seismic traces from a 3D seismic survey of an area of interest. The system may also include a multi-head Convolutional Neural Network (CNN) model. The multi-head CNN model may include a plurality of kernels of various sizes for determining spatial and temporal relationships of the captured 3D seismic data at different resolutions. The multi-head CNN model may be trained to generate an estimated rock property value of a formation zone included in the area of interest, away from the well. The one or more hardware processors are further configured to update a drilling program for a production system based on the estimated rock property value. The drilling program may be executed on a computing device of the production system.",2024-01-02,2024
11860328,Detection system for detecting discontinuity interfaces and/or anomalies in pore pressures in geological formations,"A detection system includes a drill bit where electro-acoustic transducers operate as a transmitter and/or receiver, are integrated; electronic circuits; a control unit associated with a data storage unit and is powered by an electrical supply system, the processing and control unit for generating driving signals sent to the electro-acoustic transducer acting as a transmitter by the analogue driving electronic circuits, for acquiring signals received from the transducer and for processing the received signals to determine discontinuity interfaces and/or anomalies in pore pressures in geological formations; wherein each of the electro-acoustic transducers is in contact with a pressurised fluid and includes: a tubular body with two end portions opposed to each other longitudinally, internally a first chamber ending with the first end portion and a second chamber on one side adjacent and in fluid communication with the first chamber and, on the other side ending with the second end portion.",2024-01-02,2024
11860592,Systems and methods for training a reinforcement learning system for pallet routing in a manufacturing environment,"A method includes obtaining state information from one or more sensors of a digital twin. The method includes determining an action at the first routing control location based on the state information, where the action includes one of a pallet merging operation and a pallet splitting operation, and determining a consequence state based on the action. The method includes calculating a transient production value based on the consequence state and a transient objective function, calculating a steady state production value based on the consequence state and a steady state objective function, and selectively adjusting one or more reinforcement parameters of the reinforcement learning system based on the transient production value and the steady state production value.",2024-01-02,2024
11860617,Forecasting industrial aging processes with machine learning methods,"By accurately predicting industrial aging processes (IAP), such as the slow deactivation of a catalyst in a chemical plant, it is possible to schedule maintenance events further in advance, thereby ensuring a cost-efficient and reliable operation of the plant. So far, these degradation processes were usually described by mechanistic models or simple empirical prediction models. In order to accurately predict IAP, data-driven models are proposed, comparing some traditional stateless models (linear and kernel ridge regression, as well as feed-forward neural networks) to more complex stateful recurrent neural networks (echo state networks and long short-term memory networks). Additionally, variations of the stateful models are discussed. In particular, stateful models using mechanistical pre-knowledge about the degradation dynamics (hybrid models). Stateful models and their variations may be more suitable for generating near perfect predictions when they are trained on a large enough dataset, while hybrid models may be more suitable for generalizing better given smaller datasets with changing conditions.",2024-01-02,2024
11860629,Sparse convolutional neural networks,"The present disclosure provides systems and methods that apply neural networks such as, for example, convolutional neural networks, to sparse imagery in an improved manner. For example, the systems and methods of the present disclosure can be included in or otherwise leveraged by an autonomous vehicle. In one example, a computing system can extract one or more relevant portions from imagery, where the relevant portions are less than an entirety of the imagery. The computing system can provide the relevant portions of the imagery to a machine-learned convolutional neural network and receive at least one prediction from the machine-learned convolutional neural network based at least in part on the one or more relevant portions of the imagery. Thus, the computing system can skip performing convolutions over regions of the imagery where the imagery is sparse and/or regions of the imagery that are not relevant to the prediction being sought.",2024-01-02,2024
11860635,Area coverage planner,"A method of area coverage planning for an autonomous vehicle includes, at a computer system, receiving information of a boundary of a work area, and laying a plurality of tracks within the boundary of the work area. The plurality of tracks is spaced apart from each other by a spacing. Laying the plurality of tracks includes, based on the information of the boundary of the work area, performing a multivariate optimization to: (i) determine an optimal direction of the plurality of tracks, and (ii) an optimal offset for a first track from the boundary, so as to minimize a total distance of the plurality of tracks. The method further includes generating a trajectory that is traversable by the autonomous vehicle to traverse the plurality of tracks.",2024-01-02,2024
11860639,Vehicle-based road obstacle identification system,"A vehicle can include an on-board data processing system that receives sensor data captured by various sensors of the vehicle. As a vehicle travels along a route, the on-board data processing system can process the captured sensor data to identify a potential vehicle stop. The on-board data processing system can then identify geographical coordinates of the location at which the potential vehicle stop occurred, use artificial intelligence to classify a situation of the vehicle at the potential stop, and determine whether the stop was caused by a road obstacle, such as a speed bump, a gutter, an unmarked crosswalk, or any other obstacle not at an intersection. If the stop was caused by the road obstacle, the on-board data processing system can generate virtual stop or yield line data corresponding to the identified geographic coordinates and transmit this data to a server over a network for processing.",2024-01-02,2024
11860710,Computer-based systems involving an engine and tools for incident prediction using machine learning and methods of use thereof,"Systems and methods associated with incident prediction using machine learning techniques are disclosed. In one embodiment, an exemplary method may comprise obtaining current raw log data from at least one application log of at least one software application, converting the current raw log data into current tabular log data, applying one or more sampling techniques to the current tabular log data to form current balanced log data, the current balanced log data including incidents of failures, applying one or more machine learning techniques to the current balanced log data to generate an application failure predictive model, and predicting, based on future balanced log data, at least one future failure of the software application using the application failure predictive model.",2024-01-02,2024
11860720,Non-linear causal modeling from diverse data sources,"Techniques for causal modeling. Historical feature data is received, relating to a plurality of nodes in a system. A machine learning (ML) model is generated, for a node of the plurality of nodes. The ML model is trained to predict a plurality of future feature values for the node based on at least a portion of the historical feature data. A causal graph is generated, for the plurality of nodes, using a feature selection mechanism within the ML model. The feature selection mechanism includes a regularization term encouraging sparsity of nodes in selected features in the ML model.",2024-01-02,2024
11860721,"Utilizing automatic labelling, prioritizing, and root cause analysis machine learning models and dependency graphs to determine recommendations for software products","A device may receive software data identifying current logs and events associated with software products utilized by an entity and may process the software data, with a machine learning model, to generate error severity scores for the software products. The machine learning model may be trained based on historical software data identifying events and logs associated with software products utilized by the entity and based on a combination of historical health scores, historical sentiment scores, and historical dissimilarity scores for the software products. The device may process the error severity scores, with a prioritization model, to generate prioritized error scores and may process the error severity scores and the prioritized error scores, with a root cause analysis model, to generate root cause data identifying root causes associated with the error severity scores. The device may perform one or more actions based on the root cause data.",2024-01-02,2024
11860722,Computer-based systems and/or computing devices configured for root cause analysis of computing incidents using machine learning to determine when a software version change is a cause of a computing incident,"An example method includes receiving incident data for historical incidents of downtime or interrupted service. The incident data includes identification information about one or more first computing applications, devices, or services affected by the downtime or the interrupted service. The incident data further includes timing information relating to the historical incidents and version history information of the one or more first computing applications, devices, or services. The method further includes receiving root cause data indicating a cause of the historical incidents and receiving action data indicating a corrective or preventative action taken or to be taken in response to each of the historical incidents. The method further includes training a machine learning algorithm using the incident, root cause, and action data to create a trained model configured to determine a root cause and a new corrective or preventative action for a new incident.",2024-01-02,2024
