id,location_clean
353,"Fort Worth, TX, United States"
355,"Foster City, CA, United States"
364,"Fremont, CA, United States"
371,"Fulton, MD, United States"
385,"George Town, Cayman Islands"
396,"Glenview, IL, United States"
405,"Gouli, China"
427,"Hangzhou City, China"
432,"Hartford, CT, United States"
442,"Helsinki, Finland"
443,"Henderson, NV, United States"
453,"Hillsboro, OR, United States"
457,"Hitachinaka, Japan"
464,"Holladay, UT, United States"
471,"Hopkinton, MA, United States"
475,"Hsinchu, Taiwan, Province of China"
476,"Hubei, China"
488,"Ibaraki, Japan"
489,"Icheon-si, Korea, Republic of"
493,"Incheon, Korea, Republic of"
498,"Irvine, CA, United States"
512,"Jalan Pedongkelan, NJ, United States"
513,"Jangan-dong, Korea, Republic of"
517,"Jersey City, NJ, United States"
523,"Jinshanmian, Taiwan, Province of China"
529,"Korea, Republic of"
530,Cayman Islands
534,"Kansas City, MO, United States"
535,"Kaohsiung, Taiwan, Province of China"
552,"Kings Langley, United Kingdom"
572,"Kyoto, Japan"
577,"Lake Forest, CA, United States"
579,"Lakeway, TX, United States"
580,"Lakewood, CO, United States"
586,"Las Vegas, NV, United States"
606,"Lethbridge, AB, Canada"
607,"Leuven, Belgium"
615,"Limassol, Cyprus"
627,"Lo Wu, China"
628,"London, United Kingdom"
631,"Longbeilingcun, China"
637,"Los Altos, CA, United States"
638,"Los Angeles, CA, United States"
639,"Los Gatos, CA, United States"
656,"Malibu, CA, United States"
686,"McLean, VA, United States"
687,"McNair, VA, United States"
689,"Medford, MA, United States"
697,"Menlo Park, CA, United States"
707,"Middletown, DE, United States"
709,"Midland, MI, United States"
719,"Milwaukee, WI, United States"
723,"Minnetonka, MN, United States"
747,"Mountain View, CA, United States"
750,"Mumbai, India"
751,"Munich, Germany"
761,"Nanning, China"
766,"Nashua, NH, United States"
767,"Nashville, TN, United States"
772,"Neff, CA, United States"
773,"Nes Ziona, Israel"
785,"New Taipei, Taiwan, Province of China"
786,"New York, NY, United States"
814,"Oakland, CA, United States"
823,"Old Man Bay, Cayman Islands"
826,"Ootawara, Japan"
834,"Ottawa, ON, Canada"
843,"Palo Alto, CA, United States"
845,"Paris, France"
849,"Pasadena, CA, United States"
855,"Philadelphia, PA, United States"
858,"Pittsburgh, PA, United States"
860,"Plano, TX, United States"
863,"Pleasanton, CA, United States"
864,"Plymouth, MI, United States"
879,"Prince George, BC, Canada"
880,"Princeton, NJ, United States"
884,"Purchase, NY, United States"
903,"Redmond, WA, United States"
904,"Redwood City, CA, United States"
905,"Redwood Shores, CA, United States"
909,"Reno, NV, United States"
917,"Riverside, PA, United States"
919,"Riyadh, Saudi Arabia"
924,"Rockville, MD, United States"
926,"Roma, Italy"
931,"Roswell, GA, United States"
932,"Round Rock, TX, United States"
938,"Saint Louis, MO, United States"
945,"Salt Lake City, UT, United States"
946,"Sampyeong-dong, Korea, Republic of"
947,"San Antonio, TX, United States"
950,"San Diego, CA, United States"
951,"San Francisco, CA, United States"
953,"San Jose, AZ, United States"
954,"San Jose, CA, United States"
956,"San Mateo, CA, United States"
957,"San Ramon, CA, United States"
963,"Santa Clara, CA, United States"
965,"Santa Fe, NM, United States"
966,"Santa Monica, CA, United States"
976,"Schaffhausen, Switzerland"
979,"Schindellegi, Switzerland"
984,"Scottsdale, AZ, United States"
985,"Seattle, WA, United States"
987,"Seneca, PA, United States"
988,"Seongnam-si, Korea, Republic of"
989,"Seoul, Korea, Republic of"
992,"Shandong, China"
993,"Shanghai, China"
1008,"Silver Spring, MD, United States"
1011,"Singal-ri, Korea, Republic of"
1012,"Singapore, Singapore"
1027,"South San Francisco, CA, United States"
1031,"Spring, TX, United States"
1037,"St. Petersburg, FL, United States"
1040,"Stanford, CA, United States"
1042,"Steinhausen, Switzerland"
1045,"Stockholm, Sweden"
1050,"Suneung-ri, Korea, Republic of"
1051,"Sunnyvale, CA, United States"
1054,"Survanagiri, India"
1057,"Suwon-si, Korea, Republic of"
1068,"Taiwan, Province of China"
1080,"Taoyuan, Taiwan, Province of China"
1084,"Tel Aviv-Yafo, Israel"
1088,"Tewksbury, MA, United States"
1092,"Thimory, France"
1101,"Tochigi, Japan"
1102,"Tokyo, Japan"
1104,"Toronto, ON, Canada"
1111,"Trondheim, Norway"
1114,"Tsukuba, Japan"
1122,"Tysons, VA, United States"
1129,"Urbandale, IA, United States"
1142,"Veldhoven, Netherlands"
1146,"Vienna, VA, United States"
1156,"Walldorf, Germany"
1158,"Waltham, MA, United States"
1159,"Warner Robins, GA, United States"
1160,"Warszawa, Poland"
1169,"Wayne, PA, United States"
1170,"Weavertown, PA, United States"
1171,"Weehawken, NJ, United States"
1173,"Wellers Hill, Australia"
1183,"Westminster, CO, United States"
1194,"Wilmington, DE, United States"
1202,"Woburn, MA, United States"
1228,"Yongheung-ri, Korea, Republic of"
1229,"Yongin-si, Korea, Republic of"
1234,"Yuyuanxiang, China"
1240,"Zhenjiang, China"
1243,"Zhuqiao, China"
1245,"Zug, Switzerland"
1246,"Zürich, Switzerland"
1254,"红钢城街道, China"
1256,"龙王头村, China"
