id,label
"Gracenote, Inc.",Assignee
"Skydio, Inc.",Assignee
"ROYCE GEOSPATIAL CONSULTANTS, INC.",Assignee
"Genius Sports SS, LLC",Assignee
Inha University Research and Business Foundation,Assignee
SUPREMA INC.,Assignee
"University of Maryland, College Park",Assignee
"TruU, Inc.",Assignee
"LNW Gaming, Inc.",Assignee
JIANGSU UNIVERSITY,Assignee
"METROWEATHER CO., LTD.",Assignee
RED SIX AEROSPACE INC.,Assignee
"LG Display Co., Ltd.",Assignee
"SHARP NEC DISPLAY SOLUTIONS, LTD.",Assignee
"LX SEMICON CO., LTD",Assignee
"ASAPP, INC.",Assignee
"Pindrop Security, Inc.",Assignee
Spotify AB,Assignee
"Netlist, Inc.",Assignee
National Kaohsiung University of Science and Technology,Assignee
Verily Life Sciences LLC,Assignee
Dow Global Technologies LLC,Assignee
"Teladoc Health, Inc.",Assignee
"Ciitizen, LLC",Assignee
"Express Scripts Strategic Development, Inc.",Assignee
"MatrixCare, Inc.",Assignee
"SHANGHAI UNITED IMAGING HEALTHCARE CO., LTD.",Assignee
HVH PRECISION ANALYTICS LLC,Assignee
"Cognoa, Inc.",Assignee
"Roche Molecular Systems, Inc.",Assignee
"OM1, Inc.",Assignee
Westinghouse Electric Company LLC,Assignee
VOLKSWAGEN AKTIENGESELLSCHAFT; AUDI AG,Assignee
DERNetSoft Inc.,Assignee
"SAMSUNG DISPLAY CO., LTD.; RESEARCH & BUSINESS FOUNDATION SUNGKYUNKWAN UNIVERSITY",Assignee
"HRL Laboratories, LLC",Assignee
WISTRON CORP.,Assignee
"CITIGROUP TECHNOLOGY, INC.",Assignee
FRONTIIR PTE LTD.,Assignee
"Salesforce, Inc.",Assignee
AVAGO TECHNOLOGIES INTERNATIONAL SALES PTE. LIMITED,Assignee
SONY GROUP CORPORATION,Assignee
"ASSIA SPE, LLC",Assignee
"Aviatrix Systems, Inc.",Assignee
Architecture Technology Corporation,Assignee
Syntropy Network Limited,Assignee
"LYNXI TECHNOLOGIES CO., LTD.",Assignee
"Proofpoint, Inc.",Assignee
"vArmour Networks, Inc.",Assignee
"MOTOROLA SOLUTIONS, INC.",Assignee
"ZenPayroll, Inc.",Assignee
AXS Group LLC,Assignee
ALIBABA GROUP HOLDING LIMITED,Assignee
TENCENT AMERICA LLC,Assignee
"Rovi Guides, Inc.",Assignee
"Groupon, Inc.",Assignee
"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.",Assignee
LandingAI Inc.,Assignee
"ALACS, LLC",Assignee
Cilag GmbH International,Assignee
Endoluxe Inc.,Assignee
"Aptima, Inc.",Assignee
UnitedHealth Group Incorporated,Assignee
Canon Medical Systems Corporation,Assignee
Geisinger Clinic,Assignee
"ALIGN TECHNOLOGY, INC.",Assignee
GASTROKLENZ INC.,Assignee
"BMC MEDICAL CO., LTD.",Assignee
Board of Regents of the University of Texas System,Assignee
"SHENZHEN OUR NEW MEDICAL TECHNOLOGIES DEVELOPMENT CO., LTD.; OUR UNITED CORPORATION",Assignee
SIEMENS HEALTHINEERS INTERNATIONAL AG,Assignee
SONY INTERACTIVE ENTERTAINMENT INC.,Assignee
ILLINOIS TOOL WORKS INC.,Assignee
"MITSUBISHI HEAVY INDUSTRIES, LTD.",Assignee
Samsara Inc.,Assignee
"HITACHI ASTEMO, LTD.",Assignee
California Institute of Technology,Assignee
Vestas Wind Systems A/S,Assignee
VOYAGER INNOVATIONS PTY LTD,Assignee
"Volta Charging, LLC",Assignee
"ANSYS, INC.",Assignee
Hitachi Energy Ltd,Assignee
ASEDASCIENCES AG,Assignee
SecureAuth Corporation,Assignee
"Phaidra, Inc.",Assignee
"Valmont Industries, Inc.",Assignee
"UPTAKE TECHNOLOGIES, INC.",Assignee
"STRONG FORCE TP PORTFOLIO 2022, LLC",Assignee
"HONDA MOTOR CO., LTD.",Assignee
"Kyndryl, Inc.",Assignee
"TUNEGO, INC.",Assignee
QUANTA COMPUTER INC.,Assignee
"MAXLINEAR, INC.",Assignee
"Keep Security, LLC",Assignee
AMDOCS DEVELOPMENT LIMITED,Assignee
Veritas Technologies LLC,Assignee
"CAST AI Group, Inc.",Assignee
YAHOO AD TECH LLC,Assignee
Certinia Inc.,Assignee
Liberty Mutual Insurance Company,Assignee
"Workday, Inc.",Assignee
Lodestar Licensing Group LLC,Assignee
RENESAS ELECTRONICS CORPORATION,Assignee
"Nanning FuLian FuGui Precision Industrial Co., Ltd.",Assignee
"SHANGHAI CAMBRICON INFORMATION TECHNOLOGY CO., LTD",Assignee
"MOFFETT INTERNATIONAL CO., LIMITED",Assignee
AMADEUS S.A.S.,Assignee
TOPCON CORPORATION,Assignee
Alpha Micro Tech Inc.,Assignee
"Walmart Apollo, LLC",Assignee
"CASIO COMPUTER CO., LTD.",Assignee
Kinaxis Inc.,Assignee
BNSF Railway Company,Assignee
RCRDCLUB CORPORATION,Assignee
WORKIVA INC.,Assignee
Imagination Technologies Limited,Assignee
Sharper Shape Oy,Assignee
"Sighthound, Inc.",Assignee
Vim Inc.,Assignee
Raytheon Company,Assignee
"RackTop Systems, Inc.",Assignee
"OneTrust, LLC",Assignee
"Uber Technologies, Inc.",Assignee
"Humane, Inc.",Assignee
NEXTEAM,Assignee
"Change Healthcare Holdings, LLC",Assignee
Seagate Technology LLC,Assignee
VMware LLC,Assignee
SK hynix Inc.,Assignee
Siemens Industry Software Inc.,Assignee
"E-PLAN, INC.",Assignee
